marker	fluo	mix	allele	pb	se	couleur
Bibl18	PET	mix2	132	132.43	0.4	Rouge
Bibl18	PET	mix2	133	133.77	0.4	Rouge
Bibl18	PET	mix2	137	137.50	0.4	Rouge
Bibl18	PET	mix2	141	141.50	0.4	Rouge
Bibl18	PET	mix2	143	143.59	0.4	Rouge
Bibl18	PET	mix2	145	145.51	0.4	Rouge
Bibl18	PET	mix2	147	147.52	0.4	Rouge
Bibl18	PET	mix2	149	149.49	0.4	Rouge
Bibl31	NED	mix2	157	155.97	0.4	Jaune
Bibl31	NED	mix2	159	157.85	0.4	Jaune
Bibl31	NED	mix2	161	159.90	0.4	Jaune
Bibl31	NED	mix2	163	161.73	0.4	Jaune
Bibl4	PET	mix1	175a	174.340	0.4	Rouge
Bibl4	PET	mix1	175b	175.330	0.4	Rouge
Bibl4	PET	mix1	178	178.0	1.0	Rouge
Bibl4	PET	mix1	188a	188.515	0.4	Rouge
Bibl4	PET	mix1	188b	189.23	0.3	Rouge
Bibl4	PET	mix1	188c	190.02	0.3	Rouge
Bibl4	PET	mix1	190a	191.17	0.4	Rouge
Bibl4	PET	mix1	190b	191.995	0.4	Rouge
Bibl4	PET	mix1	192	193.172	0.4	Rouge
Ma001	6FAM	mix2	303	305.13	0.4	blue
Ma001	6FAM	mix2	305	307.17	0.4	blue
Ma001	6FAM	mix2	307	309.25	0.4	blue
Ma002	NED	mix2	265	265.455	0.72	Jaune
Ma002	NED	mix2	271	275.06	0.4	Jaune
Ma002	NED	mix2	273	277.2	0.49	Jaune
Ma002	NED	mix2	279	281.595	0.4	Jaune
Ma002	NED	mix2	281	283.29	0.4	Jaune
Ma002	NED	mix2	283	285.5	0.7	Jaune
MS41	HEX	mix2	184	184.40	0.4	Vert
MS41	HEX	mix2	186	186.53	0.4	Vert
MS41	HEX	mix2	188	188.33	0.4	Vert
MS45	6FAM	mix2	107	106.825	0.4	blue
MS45	6FAM	mix2	109	108.88	0.4	blue
MS45	6FAM	mix2	111	111.04	0.4	blue
ST10	HEX	mix2	116	117.34	0.4	Vert
ST10	HEX	mix2	118	119.295	0.4	Vert
ST10	HEX	mix2	120	121.25	0.4	Vert
ST10	HEX	mix2	130	131.03	0.4	Vert
ST10	HEX	mix2	132	133.00	0.4	Vert
ST10	HEX	mix2	134	135.005	0.4	Vert
ST10	HEX	mix2	136	136.965	0.4	Vert
Bibl1	6FAM	mix1	95	96.725	0.4	blue
Bibl1	6FAM	mix1	97	98.74	0.4	blue
Bibl1	6FAM	mix1	101	99.74	0.53	blue
Bibl1	6FAM	mix1	103	102.59	0.4	blue
Bibl1	6FAM	mix1	107	107.685	0.4	blue
Bibl1	6FAM	mix1	109	108.43	0.4	blue
Bibl20	HEX	mix1	206	205.48	0.4	Vert
Bibl20	HEX	mix1	208	207.5	0.4	Vert
Bibl20	HEX	mix1	216	215.275	0.44	Vert
Bibl20	HEX	mix1	218	218.9	0.4	Vert
Bibl20	HEX	mix1	220	221.31	0.4	Vert
